stop_lat,wheelchair_boarding,stop_code,stop_lon,parent_station,stop_url,stop_id,stop_desc,stop_name,location_type,zone_id
29.975652,0,2042,-90.031476,,,2042,N GALVEZ ST & MAZANT ST,N Galvez at Mazant,0,
29.970063,0,2043,-90.029727,,,2043,POLAND AVE,Poland and N Claiborne,0,
29.976643,0,2040,-90.035854,,,2040,N GALVEZ ST & GALLIER ST,N Galvez at Congress,0,
29.976089,0,2041,-90.033405,,,2041,N GALVEZ ST & PAULINE ST,N Galvez at Alvar,0,
29.963504,0,1945,-90.045348,,,1945_merged_2495661,CLOUET ST & DAUPHINE ST,Royal at Clouet,0,
29.979055,0,1364,-90.048263,,,1364,FRANKLIN AVE & N JOHNSON ST,Franklin at N Galvez,0,
30.014385,0,1095,-90.065349,,,1095,SAINT ANTHONY AVE & RAPIDES DR,St Anthony at Rapides,0,
29.924963,0,5299,-90.041925,,,5299,WHITNEY AVE & ROMAIN ST,Whitney at Romain,0,
29.961036,0,3517,-90.056969,,,3517,ESPLANADE AVE & N PETERS ST,N Peters at Esplanade,0,
30.023477,0,2688,-90.239189,,,2688,37TH ST & FLORIDA AVE,Williams at 37th St,0,
30.019988,0,2689,-90.239502,,,2689,W ESPLANADE AVE & UNNAMED ST,Williams at W Esplanade,0,
30.032664,0,2684,-90.238446,,,2684,42ND ST & FLORIDA AVE,Williams at 42nd St,0,
30.031023,0,2685,-90.238598,,,2685,VINTAGE DR & UNNAMED ST,Williams at Vintage,0,
30.027048,0,2686,-90.238866,,,2686,39TH ST & FLORIDA AVE,Williams at 39th St,0,
30.025262,0,2687,-90.239007,,,2687,38TH ST & FLORIDA AVE,Williams at 38th St,0,
29.923752,0,2680,-89.985073,,,2680,GENERAL MEYER AVE & SULLEN PL,Sullen at General Meyer,0,
29.918375,0,2681,-89.97724,,,2681,BENNETT ST & PERRIN ST,Bennett at Perrin,0,
30.034449,0,2683,-90.238284,,,2683,43RD ST & FLORIDA AVE,Williams at 43rd St,0,
29.963199,0,645,-90.107166,,,645,PINE ST & WASHINGTON AVE,Washington at Pine,0,
29.933571,0,99,-90.069117,,,99,RACE ST & ANNUNCIATION ST,Race near Annunication,0,
29.935843,0,98,-90.069454,,,98,ANNUNCIATION ST & TERPSICHORE ST,Annunication at Terpsichore,0,
29.947305,0,91,-90.0687,,,91,CAPDEVILLE ST & CAMP ST,Magazine at Capdeville,0,
29.949254,0,90,-90.06813,,,90,POYDRAS ST & CAMP ST,Magazine at Poydras,0,
29.945475,0,92,-90.069251,,,92,JULIA ST & CAMP ST,Magazine at Julia,0,
29.940077,0,95,-90.065529,,,95,S PETERS ST & GAIENNIE ST,S Peters at Gaiennie,0,
29.93682,0,97,-90.069185,,,97,ANNUNCIATION ST & MELPOMENE ST,Annunication at Melpomene,0,
29.937798,0,96,-90.068908,,,96,THALIA ST & ANNUNCIATION ST,Annunication at Thalia,0,
30.02191,0,1623,-90.001716,,,1623,DWYER RD & LONELY OAK DR,Dwyer at Lonely Oak,0,
29.979671,0,1990,-90.058814,,,1990,N MIRO ST & RAMP,N Miro at Frenchman,0,
